publication_id,place_of_first_production_settlement,place_of_first_production_county,place_of_first_production_country,first_revival_year,first_revival_month,first_revival_day,place_of_first_revival_settlement,place_of_first_revival_county,place_of_first_revival_country,theatre_company,venue,revival_venue,notes
-643147449,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,,,Produced at the Abbey Theatre (the Queen's Theatre)
-632904174,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-629539114,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-626641679,,Waterford,Ireland,0,0,0,,,,168285278,Garter Lane Arts Centre,,
-622611700,Dublin,,Ireland,0,0,0,,,,1214035932,Civic Theatre,,
-613587959,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-607322619,Dublin,,Ireland,0,0,0,,,,-511387485,Bewley's Café Theatre,,
-590796320,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
-572827268,Dublin,,Ireland,0,0,0,,,,-153439562,Andrew's Lane,,
-564974506,,,,0,0,0,,,,-153439562,Digital Hub,,
-560225715,Dublin,,Ireland,0,0,0,,,,-949176950,Andrew's Lane,,
-541030338,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-538239052,Dublin,,Ireland,0,0,0,,,,1603442578,Project Arts Centre,,
-524401640,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-499905334,,,,0,0,0,,,,2075769476,,,
-495723665,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
-485407274,Drogheda,Louth,Ireland,0,0,0,,,,910658207,Droichead Arts Centre,,
-482922061,Dublin,,Ireland,0,0,0,,,,1475054084,Project Arts Centre,,
-482326955,Limerick,,Ireland,0,0,0,,,,1572649714,Belltable Arts Centre,,
-460798025,,,,0,0,0,,,,1926951602,Lyric Theatre,,
-429381125,,,,0,0,0,,,,1926951602,Lyric Theatre,,
-424279539,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-407916324,Dublin,,Ireland,0,0,0,,,,-153439562,Project Arts Centre,,
-405621817,Belfast,Antrim,Ireland,0,0,0,,,,1548641276,Old Museum Arts Centre,,
-396791112,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-395221123,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-393858597,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-383219674,Dublin,Dublin,Ireland,0,0,0,,,,-1050361748,,,?performed at the Gate Theatre?
-372920327,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-368286067,,,,0,0,0,,,,1548589892,,,
-364484048,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-363953453,Dublin,,Ireland,0,0,0,,,,995299641,Project Arts Centre,,
-361057389,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-346629780,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-340279527,Dublin,,Ireland,0,0,0,,,,1633018044,The Gate Theate,,
-309396663,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-305270315,Dublin,,Ireland,0,0,0,,,,-524754830,Olympia Theatre,,
-296105418,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-291070446,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
-271441991,Galway,,Ireland,0,0,0,,,,8831333,Druid Lane Theatre,,
-266640096,Dublin,Dublin,Ireland,0,0,0,,,,-1005456389,,,"""Presented at the Dublin Theatre Festival…Produced by York Promotions by arrangement with Stanley Illsley and Leo McCabe"". ""Translated and adapted from The Original by Marcelle Maurette."" Performed at the Olympia Theatre."
-259388369,,,,0,0,0,,,,-1292405262,,,
-250924421,Dublin,,Ireland,0,0,0,,,,798972613,Project Arts Centre,,
-250816419,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-250767684,,,,0,0,0,,,,691438355,,,
-249216899,Dublin,,Ireland,0,0,0,,,,-1292405262,Riverside Theatre,,
-248854774,Belfast,Antrim,Ireland,0,0,0,,,,-2071420564,Grand Opera House,,
-247289018,Dublin,,Ireland,0,0,0,,,,798972613,Project Arts Centre,,
-245595799,London,,England,0,0,0,,,,1548589892,Battersea Arts Centre,,
-239530053,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-226412281,Dublin,,Ireland,0,0,0,,,,-1817014103,Andrew's Lane,,
-220657843,Stratford-Upon-Avon,Warwickshire,England,0,0,0,,,,-1091209590,The Other Place,,
-199410816,,,,0,0,0,,,,1863575764,,,
-193897867,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-186005270,Dublin,,Ireland,0,0,0,,,,-1085509476,Bewley's Café Theatre,,
-177938072,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-170170311,Waterford,,Ireland,0,0,0,,,,168285278,Garter Lane Arts Centre,,
-162597571,Dublin,,Ireland,0,0,0,,,,798972613,Project Arts Centre,,
-155349678,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
-155184014,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-147276585,Belfast,Antrim,Ireland,0,0,0,,,,528594578,,,"Produced at the Group Theatre. Published by H.R. Carter Publications Ltd., Belfast, 1955."
-147135549,Dublin,Dublin,Ireland,0,0,0,,,,-1050361748,,,Produced at The Gate Theatre
-143899654,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-139797735,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-136066270,Dublin,,Ireland,0,0,0,,,,-636796677,Draíocht Centre for the Arts,,
-125344614,Dublin,,Ireland,0,0,0,,,,1603442578,Project Arts Centre,,
-122029718,,,,0,0,0,,,,1863575764,,,
-120117605,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-115970946,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,,,"""Presented on the Abbey Stage"". Adapted from Frank O'Connor's short story."
-115668429,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-115286870,Dublin,,Ireland,0,0,0,,,,410711230,Civic Theatre,,
-107194066,Ulster,Antrim,Ireland,0,0,0,,,,528594578,Group Theatre,,
-92711665,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-79072458,Liverpool,,England,0,0,0,,,,-260395479,Liverpool Playhouse Studio,,
-68503919,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-65168150,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-53822442,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-52297253,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-49253785,Dublin,,Ireland,0,0,0,,,,1285570691,Andrew's Lane,,
-38274523,Cork,,Ireland,0,0,0,,,,1951676034,Granary Theatre,,
-35472180,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-29000603,Dublin,Dublin,Ireland,0,0,0,,,,-1050361748,,,Produced at The Gate Theatre
-17998590,Dublin,,Ireland,0,0,0,,,,1863575764,"The Ark, A Cultural Centre for Children",,
-2825529,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
1402953,,,Ireland,0,0,0,,,,-153439562,Tinahely Court House,,
5455110,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
6583012,,,,0,0,0,,,,-1368436573,,,
7156983,,,,0,0,0,,,,-712549273,,,
31541497,Dublin,,Ireland,0,0,0,,,,1214035932,Project Arts Centre,,
56721093,Dublin,,Ireland,0,0,0,,,,-712549273, Abbey Theatre,,
57825930,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
72871546,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
85106060,Dublin,,Ireland,0,0,0,,,,-2025750415,Civic Theatre,,
98540131,Belfast,,Ireland,0,0,0,,,,-1292405262,Lyric Theatre,,
111937946,Dublin,,Ireland,0,0,0,,,,-1184022911,Bewley's Café Theatre,,
113561285,Galway,,Ireland,0,0,0,,,,-1700964702,"Meeting Room, Imperial Hotel",,
123668577,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
151193420,,,,0,0,0,,,,1214035932,,,
159483199,,,,0,0,0,,,,2075769476,,,
167531741,,,,0,0,0,,,,694889932,,,
179847646,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
180908334,Dublin,,Ireland,0,0,0,,,,1603442578,Project Arts Centre,,
188207875,,,,0,0,0,,,,304400776,Hardwicke Street Hall,,
189299869,Belfast,,Ireland,0,0,0,,,,1548641276,Group Theatre,,
200746891,Ulster,,Ireland,0,0,0,,,,-1292405262,Riverside Theatre,,
202499029,,,,0,0,0,,,,821744588,,,
219722451,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
222291636,Dublin,,Ireland,0,0,0,,,,-1199707041,City Arts Centre,,
231703792,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
234581747,Belfast,,Ireland,0,0,0,,,,-1965447228,Lyric Theatre,,
239029348,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
243997413,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
257130129,,,,0,0,0,,,,1863575764,,,
277123298,,,,0,0,0,,,,1569298031,,,
278723284,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
285905210,Dublin,Dublin,Ireland,0,0,0,,,,-2091226435,,,"Performed at The Gate Theatre. ""Adapted from T. Carmi's translation from the Hebrew of Lea Goldberg's play 'The Lady of the Castle'."""
289149047,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
300506145,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
301249340,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
319544015,Dublin,,Ireland,0,0,0,,,,-636796677,Dublin Writers' Museuem,,
322968542,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
323573407,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
327719971,Dublin,,Ireland,0,0,0,,,,-1085509476,Bewley's Café Theatre,,
333978940,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
340524337,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
358144632,Limerick,,Ireland,0,0,0,,,,-622446823,Belltable Arts Centre,,
371913049,,,,0,0,0,,,,1863575764,,,
388520559,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
389318906,Dublin,,Ireland,0,0,0,,,,600616947,Project Arts Centre,,
402596930,Dublin,,Ireland,0,0,0,,,,-153439562,City Arts Centre,,
410506498,,,,0,0,0,,,,1548641276,,,
431574662,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
436123696,Dublin,,Ireland,0,0,0,,,,-2025750415,Olympia Theatre,,
449990717,,,,0,0,0,,,,2075769476,,,
468930207,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
490674109,,,,0,0,0,,,,8831333,,,
499599407,Dublin,,Ireland,0,0,0,,,,-636796677,Civic Theatre,,
500261698,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
501720189,Gaillimh,Galway,Ireland,0,0,0,,,,-1782840262,An Taibhdhearc,,
511524739,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
523596030,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
535289312,Dublin,,Ireland,0,0,0,,,,-636796677,Dublin Writers' Museuem,,
540326470,Gardiner's Hill,Cork,Ireland,0,0,0,,,,691438355,St Patrick's Girls NS,,
545319742,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
565061638,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
580963546,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
585387982,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
596124560,Clonmel,Tipperary,Ireland,0,0,0,,,,-1562271663,Magners Theatre,,
603090968,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
