publication_id,publisher,printer,notes,season,from_year,from_month,to_year,to_month,edition_subseries
-1834119163,0,0, ,,,,,,0
-1834103393,0,0, ,,0,-1,0,0,0
-1833569614,0,0, ,,0,-1,0,0,0
-1831912579,0,0, ,,0,0,0,0,0
-1830377605,0,0, ,,0,-1,0,0,0
-1830162463,0,0, ,Summer,0,0,0,0,0
-1829497097,0,0, ,,0,0,0,0,0
-1828982295,0,0, ,Summer,0,0,0,0,0
-1828768482,0,0, ,,0,0,0,0,0
-1828399238,0,0, ,,0,0,0,0,0
-1827251962,0,0, ,,,,,,0
-1826740299,0,0, ,,0,0,0,0,0
-1825607464,0,0, ,,0,-1,0,0,0
-1825478213,0,0, ,,,,,,0
-1824350555,0,0, ,,0,0,0,0,0
-1823265488,0,0, ,,1942,0,0,0,0
-1823010685,0,0, ,,0,0,0,-1,0
-1821756883,0,0, ,,0,-1,0,0,0
-1819872737,0,0, ,,0,0,0,0,0
-1819736148,0,0, ,,0,0,0,0,0
-1819117555,0,0, ,,0,0,0,0,0
-1818994179,0,0, ,,0,0,0,0,0
-1818171240,0,0, ,,,,,,0
-1817912723,0,0, ,,1947,0,0,0,0
-1817769085,0,0, ,,0,0,0,0,0
-1814745481,0,0, ,,0,0,0,0,0
-1814562498,0,0, ,,0,0,0,-1,0
-1814288404,0,0, ,Winter,2001,0,2002,0,0
-1810808816,0,0,Published in The Irish Press,,0,0,0,0,0
-1810733420,0,0, ,,0,0,0,-1,0
-1810725104,0,0, ,,0,0,0,0,0
-1810040339,0,0, ,,0,0,0,0,0
-1808633824,0,0, ,,,,,,0
-1808514189,0,0, ,,2005,0,0,0,0
-1804291814,0,0, ,,0,-1,0,0,0
-1804189657,0,0, ,Spring,0,0,0,0,0
-1804053261,0,0,Published in The Irish Press,,0,0,0,0,0
-1803969905,0,0, ,,0,0,0,0,0
-1803823945,0,0, ,,,,,,0
-1802250191,0,0, ,,0,0,0,0,0
-1801981114,0,0, ,,,,,,0
-1800952249,0,0, ,,1890,10,1890,10,0
-1799951890,0,0, ,,0,0,0,0,0
-1797552726,0,0, ,Winter,0,0,0,0,0
-1796320165,0,0, ,,0,0,0,0,0
-1795401194,0,0, ,,,,,,0
-1795130823,0,0, ,,0,-1,0,0,0
-1794543834,0,0, ,,0,0,0,0,0
-1794442644,0,0, ,,0,-1,0,0,0
-1794000496,0,0, ,,,,,,0
-1793846395,0,0,April-June,,,,,,0
-1793529664,0,0,yearly volume,,1947,1,1947,12,0
