DB_id,company_name,settlement,county,country,notes
-600946685,Feltrinelli,Milan,,Italy,
-600910944,J. Souter,London,,England,
-599454544,Daly,London,,England,
-599426855,Channing Press,Dawlish,Devon,England,
-598678613,Gresham,London,,England,
-598584234,Popular Library,New York,,USA,
-598351615,Columba Press,Dublin,,Ireland,
-596869130,Taxus Press,Durham,,England,
-592305537,Gos. uchebno-pedaroricheskoe izd-vo Min. Pros.BSSR,Minsk,,Belarus,
-591099624,Brún agus O Nualláin,Baile Átha Cliath,,Éire,
-589573396,Edward Churton,London,,England,
-588419846,Hyperion,New York,New York,USA,
-588143138,Comhar Teo.,Dublin,,Ireland,
-587510751,Cló Iar-Chonnachta,Indreabhán,Galway,Ireland,
-586868697,H. D. Symonds,London,,England,
-586697411,De Geus,Breda,,Netherlands,
-584397076,Le Serpent à Plumes,Paris,,France,
-583810763,D. Lothrop,Boston,Massachussetts,USA,
-583729063,H. de Hoogh & Co.,Amsterdam,,Holland,
-582921913,Cohen Zonen,Amsterdam,,Holland,
-581235026,J. F. Hughes,London,,England,
-580118159,Society for the Protection of Animals,London,,England,
-579213284,Pluto Press,London,,England,
-578895661,Essedue,Verona,,Italy,
-578432507,Dalziel Bros.,London,,England,
-578243454,Fazi,Rome,,Italy,
-578026380,S.A. Library for the Blind,Grahamstown,,South Africa,
-575415372,Macmillan Children's Books,London,,England,
-575049420,Sabbath School Society,Boston,Massachussetts,USA,
-574897964,Burnett,London,,England,
-573268333,J. Vincent,Oxford,,England,
-571823497,Cape,London,,England,
-570480735,Eaton & Mains,New York,,USA,
-570341571,W. Scott,London,,England,
-570082564,J. Long,London,,England,
-568830154,DIT,Dublin,,Ireland,
-567631719,"Moffat, Yard & Company",New York,,USA,
-566996476,Heriot-Watt University,Edinburgh,,Scotland,
-566844691,J.M. Meulenhoff,Amsterdam,,Holland,
-564084827,Knopf,New York,,USA,
-563083743,Marion Boyars,New York,,USA,
-562814961,Groombridge and Sons,London,,England,
-562033289,McClelland & Stewart Ltd.,Toronto,,Canada,
-561616095,Kraíizdam,Stavropol',,Russia,
-561159715,Henry S. King,London,,England,
-560197965,The Irish Biblical Association,Dublin,,Ireland,
-559008823,American Anti-Vivsection Society,Philadelphia,,USA,
-558175663,J.M. Dent,London,,England,
-557731511,Milner & Co.,London,,England,
-554702430,Clódhanna Teo.,Dublin,Dublin,Ireland,
-554008041,Gaelic Press,Dublin,,Ireland,
-553500141,A. Wahlen,Brussels,,Belgium,
-553051332,Konecky & Konecky,New York,,USA,
-551582952,Neues Leben,Berlin,,Germany,
-551023018,M & S,Toronto,,Canada,
-550158343,Moxon,London,,England,
-548555627,Magnificat,Manchester,New Hampshire,USA,
-547245615,Sears,New York,,USA,
-546628720,Riverhead Books,New York,,USA,
-546433257,T. and G. Underwood,London,,England,
-545918029,Portugália Editoria,Lisbon,,Portugal,
-545236453,Nasza Ksiegarnia,Warsaw,,Poland,
-543971106,W.C Brown Co.,Dubuque,Iowa,USA,
-541776059,Zycie,Kraków,,Poland,
-540994788,Catholic University of America Press,Washington,,USA,
-540801472,H. Roswell,Toronto,,Canada,
-538870037,Donohue,Boston,,USA,
-537480003,U. Guanda,Parma,,Italy,
-535214442,C. Wildermann,New York,,USA,
-534973111,Ivy Books,Toronto,,Canada,
-534935745,Aschehoug,Oslo,,Norway,
-529878200,D. Nutt,London,,England,
-529727372,Foras na Gaeilge,,,Ireland,
-528590362,Otava,Helsinki,,Finland,
-528302437,Lowell House Juvenile,Los Angeles,,USA,
-527480355,Roche,Cork,,Ireland,
-526754862,Basement Gallery,Dundalk,Louth,Ireland,
-524516456,Remploy,London,,England,
-523764161,Emily Faithfull,London,,England,
-522171701,Peace News Ltd,London,,England,
-521655637,Circle Blue Print,New York,,USA,
-519191024,Le Normant,Paris,,France,
-517103071,David & Charles,Newton Abbot,Devon,England,
-515863496,J. Miller,New York,,USA,
-515535983,France Loisirs,Paris,,France,
-515211772,Hwanggum Puongi,Seoul,,Korea,
-513250658,Armgiz,Erevan,,Armenia,
-512226121,Gummerus Carlsen,Helsinki,,Finland,
-511088698,Lawrence & Wishart,London,,England,
-510768900,Harper & Row,San Franscico,,USA,
-510673971,O. Judd Co.,New York,,USA,
-510127519,Tranzitkniga,Moscow,,Russia,
-509753032,Dial Press,New York,,USA,
-509406156,Callenbach,Nijkerk,,Holland,
-507307180,For alle,Stockholm,,Sweden,
-506037000,C. Scribner's Sons,New York,,,
-505865758,Fernand Nathan,Paris,,France,
-505503802,Lenizdat,Leningrad,,Russia,
-502233499,Union générale d'éditions,Paris,,France,
-500708185,Ecco Press,Hopewell,New Jersey,USA,
-500561159,F. A. Thorpe,,,England,
-499380151,Royal New South Wales Institute for Deaf & Blind,North Rocks,New South Wales,Australia,
-496452720,Harpercollins Canada,Toronto,,Canada,
-495149428,Höveker,Amsterdam,,Holland,
-493480026,Joseph Nancrede,Boston,Massachussetts,USA,
-492531208,Klett-Schulbuchverl,Stuttgart,,Germany,
-490747645,Knecht,Frankfurt,,Germany,
-490131059,Allison & Busby,London,,England,
-489778001,Standard Publishing,Cincinnati,,USA,
-487944505,Street & Smith,New York,,USA,
-487638696,Éditions J'ai lu,Paris,,France,
-486602346,Rodopi,Amsterdam,,Holland,
-486217768,Vinten,Copenhagen,,Denmark,
-486159914,Magna,Long Preston,,England,
-485047664,P. Kennedy,Dublin,Dublin,Ireland,
-482298188,Literary Press,London,,England,
-482054896,Cankerjeva zalozba,Ljubljana,,Yugoslavia,
-481712090,HMSO,London,,England,
-481499303,Charles E. Tuttle Co.,Boston,Massachussetts,USA,
-476219949,Hakusuisha,Tokyo,,Japan,
-468603238,Magee University College,Derry,,Ireland,
-461836972,Houghton Mifflin,Boston,,USA,
-459946981,Henry Greer,Belfast,Antrim,Ireland,
-459655727,Carl Fischer,New York,,USA,
-459053601,Broadview Editions,Peterborough,Ontario,Canada,
-458852168,Gulliver Books,Lower Chelston,,England,
-455178240,Presencia Latinoamericana,Mexico City,,Mexico,
-454120088,National Institute for the Blind,London,,England,
