publication_id,length_minutes,production_company,country_of_origin,country_of_origin_2,country_of_origin_3,notes,date_video,date_dvd
-874243330,100,1428855888,England,,,,,
-863632989,105,-1465098390,England,,,,,
-863200990,16,-1625740475,Ireland,,,,,
-856957301,0,627615541,Ireland,,,Galway Film Fleadh 2004,0,0
-854341442,30,-963075718,Ireland,,,,,
-837208322,2,627615541,Ireland,,,,,
-836406145,26,1449816938,Ireland,,,With TG4. Part of Splanc documentary series,0,0
-832610824,47,627615541,USA,,,,0,0
-832422042,93,-1068090144,Ireland,,,with TV4 and Buena Vista.,,
-831980848,84,-298811,England,,,,0,0
-818680805,25,627615541,Ireland,,,,0,0
-813673876,0,-1739779691,Ireland,,,,,
-810395048,15,627615541,Ireland,,,,,
-795203153,10,6607463,Ireland,,,,0,0
-786527566,0,1124396309,,,,,,
-781989205,54,-1415746232,Ireland,,,,0,0
-774843357,52,806652906,Ireland,,,Bord Scannan na hEireann,,
-774438103,91,1229333597,Ireland,,,With Dogtown Productions,,
-757081233,24,557796484,Ireland,,,Co-produced by Pavee Point Productions. Galway Film Fleadh 2000,0,0
-750452932,8,627615541,Ireland,,,DVD format,,
-727434630,0,2010522704,Ireland,,,,,
-722723202,7,-1722868847,Ireland,,,"Cork Film Festival, 1988. 16mm.",,
-694540102,17,627615541,Ireland,,,,0,0
-680729188,3,593841296,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Short Shorts). Galway Film Fleadh 2003,,
-668517820,70,-359073644,USA,,,,,
-667430431,26,627615541,Ireland,,,,0,0
-660213211,118,1124875313,USA,,,,,
-657107439,0,-666105776,USA,,,,,
-654462670,4,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
-632502382,15,-953753551,Ireland,,,"Irish Film Centre 24/6/1994. Galway Film Festival, 16/7/1994. 16mm. Sighle Tóibín won Honorary Award at Brest for her work on this film.",,
-612483330,104,2043453412,USA,Ireland,,,0,0
-612189326,90,-1995761451,Ireland,,,,,
-607249020,3,627615541,USA,,,,0,0
-593747123,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
-589804080,6,627615541,,,,,0,0
-581233380,52,-963075718,Ireland,,,,,
-579472302,90,-298811,England,,,,0,0
-578689935,5,1279470640,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Frameworks),,
-577423128,52,582635766,Ireland,,,,,
-575291104,28,627615541,,,,super 8,0,0
-572162580,30,710597495,Ireland,,,,,
-571530371,325,2057377336,Ireland,,,13x25minute programmes. Three series.,,
-560470293,0,-396677422,USA,,,Five reels,,
-557084371,0,-564863652,USA,,,,,
-555372974,26,-454176910,Ireland,,,Body art movie,0,0
-550697968,156,-963075718,Ireland,,,6x26 minute programmes.,,
-544159713,10,984050006,Ireland,,,,,
-536776139,6,1799008132,Ireland,,,,,
-529170434,0,1220571921,USA,,,five reels,,
-526656310,76,270872205,USA,,,,,
-525289177,98,-117863554,Ireland,,,,,
-525169948,98,1544974159,England,,,In association with New Irish Film Productions,,
-509651607,90,-2121059320,USA,,,,,
-506587735,90,-1072997048,Ireland,,,"In association with Channel Four, and Dublin Cinema Group.",,
-470695573,10,1470100591,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann,,
-470427062,26,-1797924093,Ireland,,,"Galway Film Fleadh, 1994",,
-437718201,52,-1641274850,Ireland,,,with East Lane Films Co-Productions,,
-424778984,81,42983482,Ireland,,,,,
-415118330,74,1691106361,Ireland,,,Also known as The Revolution Will Not Be Televised. Footage obtained by RTE newscrew during coup.,,
-407712471,52,119299072,Ireland,,,,,
-400598841,7,1770327454,Ireland,,,,,
-400510156,0,427440863,,,,,,
-390544211,156,-693050197,Ireland,,,6x26 minute programmes. Conflict with IFTN re running length (6x30),,
-387895831,15,575159944,,,,"Dublin Film Festival, 1993.",,
-385149144,93,1935964963,Ireland,,,,,
-384155153,0,1878801510,USA,,,Produced with Bluebird Photoplays Inc. Five reels,,
-383729976,88,1970906207,Ireland,,,,0,0
-377976653,70,-1412301638,USA,,,,,
-340237095,13,1127749432,Ireland,,,With Camera Pen Ltd. Winner of the Claire Lynch Award in 1999 (Cork Film Festival),,
-331353510,0,1229333597,Ireland,,,,,
-317967748,32,-953753551,Ireland,,,,,
-316189872,0,-298768149,USA,,,,,
-315053563,58,-359073644,USA,,,,,
-312238994,22,1449816938,Ireland,,,,0,0
-303719183,55,-693266768,Ireland,,,,,
-300951744,0,-1173577061,USA,,,,,
-299965061,13,627615541,Ireland,England,,,0,0
-296697230,52,-1169908779,Ireland,,,with RTÉ,,
-295640644,24,536182919,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Oscailt),,
-295578993,180,2057377336,Ireland,,,6x30 minute programmes,,
-288516160,3,-1367616639,Ireland,,,Galway Film Fleadh 2003,,
-288335037,0,627615541,Ireland,,,Galway Film Festival 2005 (event programme),,
-282021350,0,26966813,England,,,"Cork Film Festival, 1981",,
-272481492,28,627615541,USA,,,,0,0
-272064932,0,-1893354585,USA,,,Five reels,,
-269492786,16,1047963641,Ireland,,,With Samson Films,,
-268444768,0,-226175877,USA,,,,,
-249070974,8,-1722868847,Ireland,,,Cork Film Festival. 16mm.,,
-242464948,0,-726216611,Ireland,,,"Bord Scannan na hEireann, Oscailt 1999",0,0
-242027697,117,684837225,USA,,,,,
-235186202,8,-2008792167,Ireland,,,"with Irish Film Board/Bord Scannán na hÉireann, Filmbase, RTÉ, Screen Scene, Ardmore Sound",,
-216256169,0,627615541,Ireland,,,,,
-212193688,8,1449816938,Ireland,,,,0,0
-200278012,5,-259323305,Ireland,,,,,
-172565479,0,-396677422,USA,,,Five reels,,
-161153252,300,582635766,Ireland,,,10x30 minute programmes,,
-156605044,10,-1797924093,Ireland,,,,0,0
-156445726,188,1118754054,Australia,,,,,
-154555408,0,-748427253,USA,,,Five reels.,,
-152313673,15,627615541,Ireland,,,,0,0
-139619810,13,-953753551,Ireland,,,16mm.,,
-132978006,390,582635766,Ireland,,,13x30 minute programmes,,
-126127182,0,-1662510571,USA,,,,,
-112967151,0,2010522704,Ireland,,,,,
-109431840,79,1183708603,England,,,,,
-103956692,10,1128016311,Ireland,,,,,
-103428270,10,627615541,USA,,,,0,0
-100699678,2,12062907,Ireland,,,Darklight Film Festival 2007,0,0
-97752227,100,1128017484,Ireland,England,,,,
-97391618,6,627615541,Ireland,,,Galway Film Fleadh 2000.,0,0
-91967461,104,-276133182,England,,,With Channel 4.,,
-90450394,14,1192878809,Ireland,,,,,
-82268499,12,-953753551,Ireland,,,"Cork Film Festival, 1988.",,
-80900839,0,-396677422,USA,,,,,
-78192328,0,-1739779691,Ireland,,,,,
-77750235,21,627615541,USA,,,,0,0
-67795598,0,1449816938,England,,,,0,0
-55158902,0,627615541,,,,,,
-51015370,21,-1630010327,,,,"Released at the Galway Film Fleadh, 1995.",,
-47561011,14,1129037021,Ireland,,,"With the Irish Film Board/Bord Scannán na hÉireann, RTÉ. Short Cuts 1999.",,
-39003427,25,172295898,Ireland,,,,0,0
-37676926,25,-1485331419,Ireland,,,With Dublin Institute of Technology,,
-36478241,4,627615541,Ireland,,,,0,0
-20721502,96,-298811,England,,,,,
-20008475,2,627615541,Ireland,,,,0,0
-16848475,17,486433572,Ireland,,,Bord Scannan na hEireann Short Cuts 2000,0,0
-12493083,15,-475391321,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann Short Cuts 2000,,
-556189,0,-1252327043,Ireland,,,Galway Film Fleadh 2003,0,0
4309706,60,2057377336,Ireland,,,,,
5332786,30,1153387532,Ireland,,,,,
22241111,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
39252232,10,1127748924,Ireland,,,With Love Seat Entertainment,,
46482600,12,1229333597,Ireland,,,,,
47872488,9,1052490912,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann,,
55743062,0,1052490912,Ireland,,,,,
62991627,0,627615541,Ireland,,,Collective. Galway Film Fleadh 2003,0,0
74486807,0,1127207579,Ireland,,,,,
81525692,60,1153387532,Ireland,,,Documentary on the Caulfields and Ceíde fields.,,
91482871,26,1534719630,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Oscailt),,
107881150,300,582635766,Ireland,,,10x30 minute programmes,,
113735239,54,486433572,Ireland,,,With Humminbird and Harvest Films Productions.  Screened RTE 1 as part of Arts Lives series,0,0
118100910,3,-1367616639,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Short Shorts),,
127650263,13,-953753551,Ireland,,,"Irish Film Centre, 24/6/1994.  Galway Film Fleadh, 16/7/1994.  Runner-up in Best Overall Production category in the 1994 Fuji Scholarship Awards.  Won inaugural Best First Film at the Cork Film Festival.",,
138122095,10,627615541,Ireland,,,,0,0
145297404,30,1449816938,Ireland,,,,0,0
145613579,10,-454176910,Ireland,,,Lasair short film,,
146380502,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
147280136,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
155213775,82,-357963629,Ireland,,,With the assistance of Bord Scannán na hÉireann/Irish Film Board. 16mm.,,
163149365,12,-953753551,Ireland,,,"Cork Film Festival, 1988. 16mm.",,
167417720,15,-390201677,Ireland,,,,,
170487371,138,-1770532942,USA,,,,,
175500724,0,-226175877,USA,,,,,
175624268,22,1449816938,Ireland,,,,0,0
176000524,10,627615541,Ireland,,,,0,0
177276611,103,542035210,Ireland,,,,,
177626644,90,838417727,Ireland,,,Co-produced in France,,
197561507,112,684837225,USA,,,,,
205390019,15,-953753551,Ireland,,,"Galway Film Fleadh, 17/7/1993.",,
207159663,240,-298811,England,,,,0,0
223222093,0,1502198268,USA,,,,,
227112031,0,1464905366,USA,,,Six-Seven reels. First film in a national anti-venereal disease campaign organised by the US public Health Service.,,
235714624,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
239899578,0,1824819005,USA,,,,,
250227184,30,-630515804,Ireland,,,,,
261153581,81,1124382556,Ireland,,,,,
264413847,52,1128074956,Ireland,,,Galway Film Fleadh 2004,0,0
287532304,100,1045715371,Ireland,,,With Scala.,,
287620158,3,2099546193,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Short Shorts),,
292038666,10,-746918195,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Frameworks),,
304649685,55,-1275087758,Ireland,,,,0,0
315064581,156,-1068090144,Ireland,,,,,
333872831,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
341436682,91,-1016769587,Ireland,,,,,
350364664,72,382995763,Ireland,,,"Made under A.C.C.T. Workshop Declaration. For Channel Four. In association with British Screen and Radio Teilifís Éireann. Premiere 23/11/1989, Derry. 24/2/1990 Dublin Film Festival. General release 9/3/1990. Won Best Drama Award at 11th International Celtic Film Festival, 1990; awarded Director's Prize at the Orléans Film Festival, 1990; Irish nomination for Young European Film of the Year at the 1990 European Film Awards.",,
362572048,4,716697003,,,,Galway Film Fleadh.,,
384480897,95,1523546592,USA,,,,,
388278505,540,-209091192,Ireland,,,18x30 minute programmes,,
404673070,0,-1412301638,USA,,,,,
407543065,0,627615541,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Irish Flash),,
415002433,150,1973482560,Ireland,,,3x50 minute programme. With Irish Film Board/Bord Scannán na hÉireann. Galway Film Fleadh 2000,,
416901363,6,-1995761451,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Frameworks),,
439240086,16,627615541,Ireland,,,"Cork Film Festival, Cannes",,
444636295,12,-884770722,,,,"Cork Film Festival, 1994.",,
449359592,52,-963075718,Ireland,,,,,
450654293,52,1669806872,Ireland,,,,0,0
454292424,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
457684978,200,2057377336,Ireland,,,8x25minute programmes,,
463432003,0,433244554,USA,,,Five reels,,
472839042,0,1063832357,Ireland,,,,,
473665122,23,-147488093,Ireland,,,"Galway Film Fleadh, 1994. Premiere, Walter Reade Theatre, New York, 7/7/1994.",,
484706509,7,627615541,Ireland,,,Galway Film Fleadh 2004,0,0
492293702,10,1128525689,Ireland,,,,,
501154386,78,382276715,Ireland,,,,,
506728684,0,-1252327043,Ireland,,,Galway Film Fleadh 2003,0,0
506892858,240,-298811,England,,,,0,0
510878823,3,1052490912,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Short Shorts),,
523882773,20,627615541,Ireland,,,DVD format,,
530967408,23,2087474571,Ireland,,,"With RTÉ, Irish Film Board/Bord Scannán na hÉireann.",,
541941360,0,627615541,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Frameworks),,
542727183,12,627615541,Ireland,,,,,
555523543,52,553526629,Ireland,,,"with RTE, Bord Scannan na hEireann. Screened RTE 1 on 01/11/1999",,
555939710,10,627615541,Ireland,,,,0,0
558994047,11,1944976840,Ireland,,,,,
559652017,51,486433572,Ireland,,,"with Dreamchaser Productions. Screened RTE 28/01/03,as part of Arts Lives series",0,0
559676385,0,1394227040,Ireland,,,,,
562794550,3,-2041193416,Ireland,,,,,
565499928,0,1661027795,USA,,,Two reels.,,
568272116,56,1128614815,Ireland,,,,,
591300147,77,42983482,Ireland,,,,,
595445069,12,-953753551,Ireland,,,,,
597752074,17,627615541,Ireland,,,Galway Film Fleadh 2001,0,0
605393959,89,1126019710,USA,,,,,
606005629,145,-847947526,England,,,,0,0
612718844,180,-630515804,Ireland,,,,,
